"gene_id","final_call","is_essential","final_call_binary"
"Rv0001","ES",1,"Essential"
"Rv0002","ES",1,"Essential"
"Rv0003","NE",0,"Non-Essential"
"Rv0004","NE",0,"Non-Essential"
"Rv0005","ES",1,"Essential"
"Rv0006","ES",1,"Essential"
"Rv0007","NE",0,"Non-Essential"
"Rv0008c","NE",0,"Non-Essential"
"Rv0009","NE",0,"Non-Essential"
"Rv0010c","NE",0,"Non-Essential"
"Rv0011c","NE",0,"Non-Essential"
"Rv0012","NE",0,"Non-Essential"
"Rv0013","ES",1,"Essential"
"Rv0014c","ES",1,"Essential"
"Rv0015c","ES",1,"Essential"
"Rv0016c","NE",0,"Non-Essential"
"Rv0017c","NE",0,"Non-Essential"
"Rv0018c","ESD",1,"Essential"
"Rv0019c","NE",0,"Non-Essential"
"Rv0020c","ESD",1,"Essential"
"Rv0021c","NE",0,"Non-Essential"
"Rv0022c","NE",0,"Non-Essential"
"Rv0023","GD",0,"Non-Essential"
"Rv0024","NE",0,"Non-Essential"
"Rv0025","NE",0,"Non-Essential"
"Rv0026","NE",0,"Non-Essential"
"Rv0027","NE",0,"Non-Essential"
"Rv0028","NE",0,"Non-Essential"
"Rv0029","NE",0,"Non-Essential"
"Rv0030","NE",0,"Non-Essential"
"Rv0032","NE",0,"Non-Essential"
"Rv0033","NE",0,"Non-Essential"
"Rv0034","NE",0,"Non-Essential"
"Rv0035","NE",0,"Non-Essential"
"Rv0036c","NE",0,"Non-Essential"
"Rv0037c","NE",0,"Non-Essential"
"Rv0038","NE",0,"Non-Essential"
"Rv0039c","NE",0,"Non-Essential"
"Rv0040c","NE",0,"Non-Essential"
"Rv0041","ES",1,"Essential"
"Rv0042c","NE",0,"Non-Essential"
"Rv0043c","NE",0,"Non-Essential"
"Rv0044c","NE",0,"Non-Essential"
"Rv0045c","NE",0,"Non-Essential"
"Rv0046c","ES",1,"Essential"
"Rv0047c","NE",0,"Non-Essential"
"Rv0048c","NE",0,"Non-Essential"
"Rv0049","NE",0,"Non-Essential"
"Rv0050","NE",0,"Non-Essential"
"Rv0051","NE",0,"Non-Essential"
"Rv0052","NE",0,"Non-Essential"
"Rv0053","ES",1,"Essential"
"Rv0054","ES",1,"Essential"
"Rv0055","ES",1,"Essential"
"Rv0056","NE",0,"Non-Essential"
"Rv0057","NE",0,"Non-Essential"
"Rv0058","ES",1,"Essential"
"Rv0059","GA",0,"Non-Essential"
"Rv0060","ES",1,"Essential"
"Rv0061c","NE",0,"Non-Essential"
"Rv0062","NE",0,"Non-Essential"
"Rv0063","NE",0,"Non-Essential"
"Rv0064","NE",0,"Non-Essential"
"Rv0064A","NE",0,"Non-Essential"
"Rv0065","NE",0,"Non-Essential"
"Rv0066c","NE",0,"Non-Essential"
"Rv0067c","NE",0,"Non-Essential"
"Rv0068","NE",0,"Non-Essential"
"Rv0069c","NE",0,"Non-Essential"
"Rv0070c","NE",0,"Non-Essential"
"Rv0071","NE",0,"Non-Essential"
"Rv0072","NE",0,"Non-Essential"
"Rv0073","NE",0,"Non-Essential"
"Rv0074","NE",0,"Non-Essential"
"Rv0075","NE",0,"Non-Essential"
"Rv0076c","NE",0,"Non-Essential"
"Rv0077c","NE",0,"Non-Essential"
"Rv0078","NE",0,"Non-Essential"
"Rv0078A","NE",0,"Non-Essential"
"Rv0078B","NE",0,"Non-Essential"
"Rv0079","NE",0,"Non-Essential"
"Rv0080","NE",0,"Non-Essential"
"Rv0081","NE",0,"Non-Essential"
"Rv0082","NE",0,"Non-Essential"
"Rv0083","NE",0,"Non-Essential"
"Rv0084","NE",0,"Non-Essential"
"Rv0085","NE",0,"Non-Essential"
"Rv0086","NE",0,"Non-Essential"
"Rv0087","NE",0,"Non-Essential"
"Rv0088","NE",0,"Non-Essential"
"Rv0089","NE",0,"Non-Essential"
"Rv0090","NE",0,"Non-Essential"
"Rv0091","NE",0,"Non-Essential"
"Rv0092","NE",0,"Non-Essential"
"Rv0093c","NE",0,"Non-Essential"
"Rv0094c","NE",0,"Non-Essential"
"Rv0095c","NE",0,"Non-Essential"
"Rv0096","NE",0,"Non-Essential"
"Rv0097","NE",0,"Non-Essential"
"Rv0098","NE",0,"Non-Essential"
"Rv0099","NE",0,"Non-Essential"
"Rv0100","NE",0,"Non-Essential"
"Rv0101","NE",0,"Non-Essential"
"Rv0102","ES",1,"Essential"
"Rv0103c","NE",0,"Non-Essential"
"Rv0104","NE",0,"Non-Essential"
"Rv0105c","NE",0,"Non-Essential"
"Rv0106","NE",0,"Non-Essential"
"Rv0107c","NE",0,"Non-Essential"
"Rv0108c","NE",0,"Non-Essential"
"Rv0109","NE",0,"Non-Essential"
"Rv0110","NE",0,"Non-Essential"
"Rv0111","NE",0,"Non-Essential"
"Rv0112","NE",0,"Non-Essential"
"Rv0113","NE",0,"Non-Essential"
"Rv0114","NE",0,"Non-Essential"
"Rv0115","NE",0,"Non-Essential"
"Rv0116c","NE",0,"Non-Essential"
"Rv0117","NE",0,"Non-Essential"
"Rv0118c","NE",0,"Non-Essential"
"Rv0119","NE",0,"Non-Essential"
"Rv0120c","NE",0,"Non-Essential"
"Rv0121c","NE",0,"Non-Essential"
"Rv0122","NE",0,"Non-Essential"
"Rv0123","NE",0,"Non-Essential"
"Rv0124","NE",0,"Non-Essential"
"Rv0125","NE",0,"Non-Essential"
"Rv0126","NE",0,"Non-Essential"
"Rv0127","NE",0,"Non-Essential"
"Rv0128","NE",0,"Non-Essential"
"Rv0129c","NE",0,"Non-Essential"
"Rv0130","NE",0,"Non-Essential"
"Rv0131c","NE",0,"Non-Essential"
"Rv0132c","NE",0,"Non-Essential"
"Rv0133","NE",0,"Non-Essential"
