Entry	Reviewed	Protein names	Gene Names	Organism	Length	InterPro	Pfam	Domain [CC]	Domain [FT]	Region
A0A089QRB9	reviewed	Mycolipanoate synthase (EC 2.3.1.252) (Mycocerosic acid synthase-like polyketide synthase) (MAS-like PKS) (Mycolipanoic/mycolipenic acids synthase-like polyketide synthase)	msl3 pks3 pks4 Rv1180/Rv1181	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2085	IPR001227;IPR036736;IPR014043;IPR016035;IPR013149;IPR013154;IPR011032;IPR018201;IPR014031;IPR014030;IPR016036;IPR053386;IPR036291;IPR032821;IPR020841;IPR042104;IPR020807;IPR049551;IPR049552;IPR020843;IPR013968;IPR049900;IPR050091;IPR020806;IPR009081;IPR016039;	PF00698;PF08240;PF00107;PF16197;PF00109;PF02801;PF08659;PF21089;PF00550;PF14765;		DOMAIN 16..428; /note="Ketosynthase family 3 (KS3)"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01348"; DOMAIN 898..1182; /note="PKS/mFAS DH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01363"; DOMAIN 2005..2081; /note="Carrier"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00258"	REGION 430..534; /note="Linker domain (LD)"; /evidence="ECO:0000250|UniProtKB:A0R1E8"; REGION 535..834; /note="Acyltransferase (AT)"; /evidence="ECO:0000250|UniProtKB:A0R1E8"; REGION 893..1175; /note="Dehydratase (DH)"; /evidence="ECO:0000250|UniProtKB:A0R1E8"; REGION 898..1018; /note="N-terminal hotdog fold"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01363"; REGION 1033..1182; /note="C-terminal hotdog fold"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01363"; REGION 1211..1371; /note="Pseudo beta-ketoacyl reductase (PsiKR)"; /evidence="ECO:0000250|UniProtKB:A0R1E8"; REGION 1399..1723; /note="Enoylreductase (ER)"; /evidence="ECO:0000250|UniProtKB:A0R1E8"; REGION 1745..1984; /note="Beta-ketoacyl reductase (KR)"; /evidence="ECO:0000250|UniProtKB:A0R1E8"
A5TY85	reviewed	Serine/threonine-protein kinase PknA (EC 2.7.11.1)	pknA MRA_0017	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	431	IPR011009;IPR000719;IPR008271;	PF00069;	DOMAIN: The kinase domain and the juxtamembrane region constitute the catalytic core of PknA. Interaction between core and C-terminal domains is crucial for activity. {ECO:0000269|PubMed:18199749}.	DOMAIN 13..272; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"	REGION 276..333; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 366..418; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
A5U1U6	reviewed	Multifunctional 2-oxoglutarate metabolism enzyme (2-hydroxy-3-oxoadipate synthase) (HOA synthase) (HOAS) (EC 2.2.1.5) (2-oxoglutarate carboxy-lyase) (2-oxoglutarate decarboxylase) (Alpha-ketoglutarate decarboxylase) (KG decarboxylase) (KGD) (EC 4.1.1.71) (Alpha-ketoglutarate-glyoxylate carboligase) [Includes: 2-oxoglutarate dehydrogenase E1 component (ODH E1 component) (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase E1 component) (KDH E1 component); Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex E2 component) (ODH E2 component) (OGDC-E2) (Dihydrolipoamide succinyltransferase)]	kgd MRA_1256	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	1231	IPR001078;IPR032106;IPR011603;IPR023213;IPR001017;IPR042179;IPR031717;IPR029061;IPR005475;	PF00198;PF16078;PF00676;PF16870;PF02779;	DOMAIN: Is a fusion protein with two major domains exhibiting structural features of an E1 and E2 protein, and a short sequence stretch of E1 localized at the N-terminus, which is connected by a linker region to the rest of the protein. {ECO:0000250}.		REGION 1..41; /note="2-oxoglutarate dehydrogenase E1, N-terminal part"; REGION 38..79; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 42..88; /note="Linker"; REGION 89..337; /note="Succinyltransferase E2"; REGION 338..1231; /note="2-oxoglutarate dehydrogenase E1, C-terminal part"
A5U229	reviewed	ATP-dependent helicase DinG (EC 5.6.2.3) (DNA 5'-3' helicase DinG)	dinG MRA_1337	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	664	IPR006555;IPR011545;IPR045028;IPR014013;IPR014001;IPR027417;	PF00270;PF13307;		DOMAIN 14..290; /note="Helicase ATP-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00541"	
A5U493	reviewed	Beta-lactamase (EC 3.5.2.6) (Ambler class A beta-lactamase)	blaC blaA MRA_2082	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	307	IPR012338;IPR045155;IPR000871;IPR023650;	PF13354;			
A5U4N0	reviewed	Adenosine kinase (ADK) (AK) (EC 2.7.1.20)	adoK cbhK MRA_2218	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	324	IPR002173;IPR050306;IPR011611;IPR029056;	PF00294;			
A5U654	reviewed	Polyphosphate glucokinase (Poly(P) glucokinase) (EC 2.7.1.63) (ATP-dependent glucokinase) (EC 2.7.1.2) (Polyphosphate--glucose phosphotransferase)	ppgK MRA_2730	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	265	IPR043129;IPR000600;	PF00480;			REGION 1..22; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
A5U6Z7	reviewed	DNA-binding protein HupB (HupB) (MtbHU) (EC 1.16.3.1) (DNA-binding protein HU homolog) (Histone-like protein)	hupB MRA_3015	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	214	IPR000119;IPR020816;IPR010992;	PF00216;	DOMAIN: The N-terminus (residues 1-108) is stable, binds DNA and is phosphorylated in vitro by PknE, PknF and PknB. This fragment binds DNA less well when phosphorylated by PknE (PubMed:24816602). Residues 1-100 stimulate Top1 and physically interact with it (PubMed:25200077). The N-terminus (residues 1-40) forms an intertwined dimer, while residues 44-83 form a beta-saddle which probably contacts DNA (PubMed:24916461). {ECO:0000269|PubMed:24816602, ECO:0000269|PubMed:24916461, ECO:0000269|PubMed:25200077}.		REGION 100..214; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
A5U8S6	reviewed	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	panD MRA_3640	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	139	IPR009010;IPR003190;	PF02261;			
I6WXK4	reviewed	Triple specificity protein phosphatase PtpB (EC 3.1.3.-) (EC 3.1.3.16) (EC 3.1.3.48) (MPtpB) (Phosphoinositide phosphatase) (Protein-serine/threonine phosphatase) (Protein-tyrosine phosphatase B) (TSP PTP)	ptpB mptpB Rv0153c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	276	IPR029021;IPR026893;IPR000387;	PF13350;	DOMAIN: The UIM-like region mediates binding to host ubiquitin. {ECO:0000269|PubMed:36227980}.; DOMAIN: Adopts a simplified PTP fold, which combines features of the conventional PTPs and dual-specificity phosphatases (PubMed:16271885). In the presence of OMTS inhibitor, the enzyme undergoes a large conformational change, allowing the inhibitor to bind deep in the active-site pocket (PubMed:17437721). {ECO:0000269|PubMed:16271885, ECO:0000269|PubMed:17437721}.		REGION 232..250; /note="UIM-like region"; /evidence="ECO:0000269|PubMed:36227980"
