gene_id,locus_tag,gene_name,cds_length,wt_logprob,mut_logprob,delta_ll
Rv0001,Rv0001,dnaA,1521,-0.66796875,-0.7265625,-0.05859375
Rv0002,Rv0002,dnaN,1206,-0.59765625,-0.6484375,-0.05078125
Rv0003,Rv0003,recF,1155,-0.55859375,-0.59765625,-0.0390625
Rv0004,Rv0004,NA,561,-0.53125,-0.5546875,-0.0234375
Rv0005,Rv0005,gyrB,2025,-0.5859375,-0.65234375,-0.06640625
Rv0006,Rv0006,gyrA,2514,-0.6171875,-0.6953125,-0.078125
Rv0007,Rv0007,NA,912,-0.60546875,-0.61328125,-0.0078125
Rv0008c,Rv0008c,NA,435,-0.66796875,-0.66796875,0
Rv0009,Rv0009,ppiA,546,-0.65234375,-0.6796875,-0.02734375
Rv0010c,Rv0010c,NA,423,-0.6953125,-0.69921875,-0.00390625
Rv0011c,Rv0011c,NA,279,-0.72265625,-0.75390625,-0.03125
Rv0012,Rv0012,NA,786,-0.67578125,-0.6875,-0.01171875
Rv0013,Rv0013,trpG,696,-0.65234375,-0.6796875,-0.02734375
Rv0014c,Rv0014c,pknB,1878,-0.60546875,-0.65234375,-0.046875
Rv0015c,Rv0015c,pknA,1293,-0.546875,-0.5859375,-0.0390625
Rv0016c,Rv0016c,pbpA,1473,-0.5234375,-0.5859375,-0.0625
Rv0017c,Rv0017c,rodA,1407,-0.55859375,-0.6171875,-0.05859375
Rv0018c,Rv0018c,pstP,1542,-0.625,-0.6484375,-0.0234375
Rv0019c,Rv0019c,fhaB,465,-0.66796875,-0.6953125,-0.02734375
Rv0020c,Rv0020c,fhaA,1581,-0.69140625,-0.68359375,0.0078125
Rv0021c,Rv0021c,NA,966,-0.78515625,-0.7578125,0.02734375
Rv0022c,Rv0022c,whiB5,417,-0.828125,-0.8203125,0.0078125
Rv0023,Rv0023,NA,768,-0.89453125,-0.89453125,0
Rv0024,Rv0024,NA,843,-0.9375,-0.89453125,0.04296875
Rv0025,Rv0025,NA,360,-0.94921875,-0.93359375,0.015625
Rv0026,Rv0026,NA,1344,-0.984375,-0.89453125,0.08984375
Rv0027,Rv0027,NA,315,-1.0234375,-1.03125,-0.0078125
Rv0028,Rv0028,NA,303,-1.0234375,-1.015625,0.0078125
Rv0029,Rv0029,NA,1095,-1.046875,-0.953125,0.09375
Rv0030,Rv0030,NA,327,-1.0625,-1.046875,0.015625
Rv0032,Rv0032,bioF2,2313,-0.98046875,-0.84375,0.13671875
Rv0033,Rv0033,acpA,261,-0.97265625,-0.95703125,0.015625
Rv0034,Rv0034,NA,393,-0.9609375,-0.94140625,0.01953125
Rv0035,Rv0035,fadD34,1686,-0.89453125,-0.796875,0.09765625
Rv0036c,Rv0036c,NA,771,-0.8515625,-0.84765625,0.00390625
Rv0037c,Rv0037c,NA,1323,-0.7734375,-0.765625,0.0078125
Rv0038,Rv0038,NA,606,-0.69140625,-0.71875,-0.02734375
Rv0039c,Rv0039c,NA,345,-0.67578125,-0.68359375,-0.0078125
Rv0040c,Rv0040c,mtc28,930,-0.69140625,-0.67578125,0.015625
Rv0041,Rv0041,leuS,2907,-0.62890625,-0.6796875,-0.05078125
Rv0042c,Rv0042c,NA,624,-0.62109375,-0.625,-0.00390625
Rv0043c,Rv0043c,NA,732,-0.61328125,-0.625,-0.01171875
Rv0044c,Rv0044c,NA,792,-0.6015625,-0.62109375,-0.01953125
Rv0045c,Rv0045c,NA,894,-0.609375,-0.62890625,-0.01953125
Rv0046c,Rv0046c,ino1,1101,-0.609375,-0.66015625,-0.05078125
Rv0047c,Rv0047c,NA,540,-0.59765625,-0.6328125,-0.03515625
Rv0048c,Rv0048c,NA,867,-0.5546875,-0.578125,-0.0234375
Rv0049,Rv0049,NA,411,-0.54296875,-0.58203125,-0.0390625
Rv0050,Rv0050,ponA1,2034,-0.546875,-0.6171875,-0.0703125
Rv0051,Rv0051,NA,1680,-0.59375,-0.63671875,-0.04296875
Rv0052,Rv0052,NA,561,-0.5546875,-0.5703125,-0.015625
Rv0053,Rv0053,rpsF,288,-0.57421875,-0.609375,-0.03515625
Rv0054,Rv0054,ssb,492,-0.609375,-0.64453125,-0.03515625
Rv0055,Rv0055,rpsR1,252,-0.64453125,-0.66796875,-0.0234375
Rv0056,Rv0056,rplI,456,-0.6796875,-0.70703125,-0.02734375
Rv0057,Rv0057,NA,519,-0.69921875,-0.69140625,0.0078125
Rv0058,Rv0058,dnaB,2622,-0.765625,-0.75,0.015625
Rv0059,Rv0059,NA,690,-0.7890625,-0.75,0.0390625
Rv0060,Rv0060,NA,1056,-0.82421875,-0.78515625,0.0390625
Rv0061c,Rv0061c,NA,336,-0.828125,-0.8203125,0.0078125
Rv0062,Rv0062,celA1,1140,-0.83203125,-0.80859375,0.0234375
Rv0063,Rv0063,NA,1437,-0.83984375,-0.82421875,0.015625
Rv0063a,Rv0063a,NA,159,-0.8046875,-0.796875,0.0078125
Rv0064,Rv0064,NA,2937,-0.703125,-0.671875,0.03125
Rv0064A,Rv0064A,vapB1,237,-0.63671875,-0.640625,-0.00390625
Rv0065,Rv0065,vapC1,399,-0.6796875,-0.671875,0.0078125
Rv0066c,Rv0066c,icd2,2235,-0.640625,-0.69140625,-0.05078125
Rv0067c,Rv0067c,NA,567,-0.61328125,-0.625,-0.01171875
Rv0068,Rv0068,NA,909,-0.66015625,-0.67578125,-0.015625
Rv0069c,Rv0069c,sdaA,1383,-0.640625,-0.64453125,-0.00390625
Rv0070c,Rv0070c,glyA2,1275,-0.6796875,-0.69140625,-0.01171875
Rv0071,Rv0071,NA,705,-0.7421875,-0.72265625,0.01953125
Rv0072,Rv0072,NA,1047,-0.80859375,-0.79296875,0.015625
Rv0073,Rv0073,NA,990,-0.80078125,-0.8046875,-0.00390625
Rv0074,Rv0074,NA,1233,-0.859375,-0.8046875,0.0546875
Rv0075,Rv0075,NA,1170,-0.87890625,-0.83203125,0.046875
Rv0076c,Rv0076c,NA,387,-0.8671875,-0.83984375,0.02734375
Rv0077c,Rv0077c,NA,828,-0.85546875,-0.8515625,0.00390625
Rv0078,Rv0078,NA,603,-0.88671875,-0.8828125,0.00390625
Rv0078A,Rv0078A,NA,591,-0.83984375,-0.8125,0.02734375
Rv0078B,Rv0078B,NA,204,-0.8359375,-0.82421875,0.01171875
Rv0079,Rv0079,NA,819,-0.8046875,-0.7578125,0.046875
Rv0080,Rv0080,NA,456,-0.7890625,-0.77734375,0.01171875
Rv0081,Rv0081,NA,342,-0.7578125,-0.76171875,-0.00390625
Rv0082,Rv0082,NA,477,-0.75,-0.7578125,-0.0078125
Rv0083,Rv0083,NA,1920,-0.7109375,-0.69921875,0.01171875
Rv0084,Rv0084,hycD,948,-0.67578125,-0.69921875,-0.0234375
Rv0085,Rv0085,hycP,660,-0.65625,-0.671875,-0.015625
Rv0086,Rv0086,hycQ,1464,-0.67578125,-0.68359375,-0.0078125
Rv0087,Rv0087,hycE,1476,-0.71875,-0.7109375,0.0078125
Rv0088,Rv0088,NA,672,-0.734375,-0.71875,0.015625
